No.,Player,Date,Team,League,Opponent,Ref
327,Jake Bauers,"June 14, 2019",Cleveland Indians,American League,Detroit Tigers,
328,Trea Turner (2),"July 23, 2019",Washington Nationals,National League,Colorado Rockies,
329,Jonathan Villar,"August 5, 2019",Baltimore Orioles,American League,New York Yankees,
330,Cavan Biggio,"September 17, 2019",Toronto Blue Jays,American League,Baltimore Orioles,
331,Trea Turner (3),"June 30, 2021",Washington Nationals,National League,Tampa Bay Rays,
332,Jake Cronenworth,"July 16, 2021",San Diego Padres,National League,Washington Nationals,
333,Freddie Freeman (2),"August 18, 2021",Atlanta Braves,National League,Miami Marlins,
334,Eddie Rosario,"September 19, 2021",Atlanta Braves,National League,San Francisco Giants,
335,Christian Yelich (3),"May 11, 2022",Milwaukee Brewers,National League,Cincinnati Reds,
336,Eduardo Escobar,"June 6, 2022",New York Mets,National League,San Diego Padres,
337,Jared Walsh,"June 11, 2022",Los Angeles Angels,American League,New York Mets,
338,Austin Hays,"June 22, 2022",Baltimore Orioles,American League,Washington Nationals,
339,Nolan Arenado (2),"July 1, 2022",St. Louis Cardinals,National League,Philadelphia Phillies,
340,Luis Arráez,"April 11, 2023",Miami Marlins,National League,Philadelphia Phillies,
